,Name,LaptopID,RAM,HDD,SSD,Graphic,Link,Price,Best Offer,Date
10,Dell Vostro Core i3 10th Gen - (4 GB/256 GB SSD/Windows 10 Home) Vostro 3491 Thin and Light Laptop,COMFTZ8FAZQUCSQK,4,0,256,0,https://www.flipkart.com/dell-vostro-core-i3-10th-gen-4-gb-256-gb-ssd-windows-10-home-3491-thin-light-laptop/p/itm1a23c30f7b3c9?pid=COMFTZ8FAZQUCSQK&lid=LSTCOMFTZ8FAZQUCSQK60SJUW&marketplace=FLIPKART&srno=b_1_18&otracker=browse&fm=organic&iid=e0086007-bfbc-4811-8fdc-c15a3a775028.COMFTZ8FAZQUCSQK.SEARCH&ssid=vhn4h6qoxc0000001602777461919,35990,5,15/10
11,MSI GF63 Thin Core i5 9th Gen - (8 GB/1 TB HDD/Windows 10 Home/4 GB Graphics/NVIDIA Geforce GTX 1650 w...,COMFUBTQE4FHYKBT,8,1024,0,4,https://www.flipkart.com/msi-gf63-thin-core-i5-9th-gen-8-gb-1-tb-hdd-windows-10-home-4-gb-graphics-nvidia-geforce-gtx-1650-max-q-9scxr-862in-gaming-laptop/p/itm9a83c29c77f54?pid=COMFUBTQE4FHYKBT&lid=LSTCOMFUBTQE4FHYKBTIVJ8NE&marketplace=FLIPKART&srno=b_1_19&otracker=browse&fm=organic&iid=e0086007-bfbc-4811-8fdc-c15a3a775028.COMFUBTQE4FHYKBT.SEARCH&ssid=vhn4h6qoxc0000001602777461919,64990,5,15/10
12,Dell Vostro Core i3 10th Gen - (8 GB/1 TB HDD/Windows 10 Home) Vostro 3491 Thin and Light Laptop,COMFTZ8YFXNGKEVD,8,1024,0,0,https://www.flipkart.com/dell-vostro-core-i3-10th-gen-8-gb-1-tb-hdd-windows-10-home-3491-thin-light-laptop/p/itm1dbf313abc100?pid=COMFTZ8YFXNGKEVD&lid=LSTCOMFTZ8YFXNGKEVDNBXF54&marketplace=FLIPKART&srno=b_1_21&otracker=browse&fm=organic&iid=e0086007-bfbc-4811-8fdc-c15a3a775028.COMFTZ8YFXNGKEVD.SEARCH&ssid=vhn4h6qoxc0000001602777461919,36968,5,15/10
13,Asus VivoBook 14 Core i5 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/2 GB Graphics) X412FJ-EK...,COMFQV98ZWHDFGZ7,8,1024,256,2,https://www.flipkart.com/asus-vivobook-14-core-i5-10th-gen-8-gb-1-tb-hdd-256-gb-ssd-windows-10-home-2-graphics-x412fj-ek513t-thin-light-laptop/p/itmc732a713de7e6?pid=COMFQV98ZWHDFGZ7&lid=LSTCOMFQV98ZWHDFGZ7O1IMVP&marketplace=FLIPKART&srno=b_1_22&otracker=browse&fm=organic&iid=e0086007-bfbc-4811-8fdc-c15a3a775028.COMFQV98ZWHDFGZ7.SEARCH&ssid=vhn4h6qoxc0000001602777461919,59990,5,15/10
14,HP 15s Core i3 10th Gen - (8 GB/1 TB HDD/Windows 10 Home) 15s-du2071TU Thin and Light Laptop,COMFSFNVFHKMG4KJ,8,1024,0,0,https://www.flipkart.com/hp-15s-core-i3-10th-gen-8-gb-1-tb-hdd-windows-10-home-15s-du2071tu-thin-light-laptop/p/itm8c9edb3ed5fa8?pid=COMFSFNVFHKMG4KJ&lid=LSTCOMFSFNVFHKMG4KJDRMARW&marketplace=FLIPKART&srno=b_1_23&otracker=browse&fm=organic&iid=e0086007-bfbc-4811-8fdc-c15a3a775028.COMFSFNVFHKMG4KJ.SEARCH&ssid=vhn4h6qoxc0000001602777461919,39100,5,15/10
15,Apple MacBook Air Core i5 5th Gen - (8 GB/128 GB SSD/Mac OS Sierra) MQD32HN/A A1466,COMEVCPQBXBDFJ8C,8,0,128,0,https://www.flipkart.com/apple-macbook-air-core-i5-5th-gen-8-gb-128-gb-ssd-mac-os-sierra-mqd32hn-a-a1466/p/itmevcpqqhf6azn3?pid=COMEVCPQBXBDFJ8C&lid=LSTCOMEVCPQBXBDFJ8C4V6AHG&marketplace=FLIPKART&srno=b_2_25&otracker=browse&fm=organic&iid=59102ea1-1b95-41b2-85ca-89a6f75e7d1e.COMEVCPQBXBDFJ8C.SEARCH&ssid=vnlw26zrm80000001602777463494,73490,5,15/10
16,MSI GF75 Thin Core i7 9th Gen - (16 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA Geforc...,COMFUR8XGGHCYGRS,16,1024,256,4,https://www.flipkart.com/msi-gf75-thin-core-i7-9th-gen-16-gb-1-tb-hdd-256-gb-ssd-windows-10-home-4-graphics-nvidia-geforce-gtx-1650-ti-9scsr-456in-gaming-laptop/p/itmf9dee2235c371?pid=COMFUR8XGGHCYGRS&lid=LSTCOMFUR8XGGHCYGRSRM7FNC&marketplace=FLIPKART&srno=b_2_26&otracker=browse&fm=organic&iid=59102ea1-1b95-41b2-85ca-89a6f75e7d1e.COMFUR8XGGHCYGRS.SEARCH&ssid=vnlw26zrm80000001602777463494,90990,5,15/10
17,HP 15s Core i3 10th Gen - (8 GB/1 TB HDD/Windows 10 Home) 15q-DS3001TU Laptop,COMFUR8XAAVKMDYT,8,1024,0,0,https://www.flipkart.com/hp-15s-core-i3-10th-gen-8-gb-1-tb-hdd-windows-10-home-15q-ds3001tu-laptop/p/itmca15395244b30?pid=COMFUR8XAAVKMDYT&lid=LSTCOMFUR8XAAVKMDYTHNMCDC&marketplace=FLIPKART&srno=b_2_27&otracker=browse&fm=organic&iid=59102ea1-1b95-41b2-85ca-89a6f75e7d1e.COMFUR8XAAVKMDYT.SEARCH&ssid=vnlw26zrm80000001602777463494,39788,5,15/10
18,HP 15s Core i3 10th Gen - (4 GB/512 GB SSD/Windows 10 Home) 15s-fr1004tu Thin and Light Laptop,COMFRWT5MDPKAQWA,4,0,512,0,https://www.flipkart.com/hp-15s-core-i3-10th-gen-4-gb-512-gb-ssd-windows-10-home-15s-fr1004tu-thin-light-laptop/p/itmc424ec6e4ccc7?pid=COMFRWT5MDPKAQWA&lid=LSTCOMFRWT5MDPKAQWA419XFO&marketplace=FLIPKART&srno=b_2_29&otracker=browse&fm=organic&iid=59102ea1-1b95-41b2-85ca-89a6f75e7d1e.COMFRWT5MDPKAQWA.SEARCH&ssid=vnlw26zrm80000001602777463494,39990,5,15/10
19,Asus VivoBook 14 Ryzen 5 Quad Core 3500U 2nd Gen - (8 GB/512 GB SSD/Windows 10 Home) X412DA-EK502T Thi...,COMFMCSBXN5KBXAH,8,0,512,0,https://www.flipkart.com/asus-vivobook-14-ryzen-5-quad-core-3500u-2nd-gen-8-gb-512-gb-ssd-windows-10-home-x412da-ek502t-thin-light-laptop/p/itmf9773679d0d51?pid=COMFMCSBXN5KBXAH&lid=LSTCOMFMCSBXN5KBXAHHZCIAZ&marketplace=FLIPKART&srno=b_2_30&otracker=browse&fm=organic&iid=59102ea1-1b95-41b2-85ca-89a6f75e7d1e.COMFMCSBXN5KBXAH.SEARCH&ssid=vnlw26zrm80000001602777463494,54990,5,15/10
