,Name,LaptopID,RAM,HDD,SSD,Graphic,Link,Price
10,HP 15s Core i3 10th Gen - (8 GB/1 TB HDD/Windows 10 Home) 15s-du2071TU Thin and Light Laptop,COMFSFNVFHKMG4KJ,8,1,0,0,https://www.flipkart.com/hp-15s-core-i3-10th-gen-8-gb-1-tb-hdd-windows-10-home-15s-du2071tu-thin-light-laptop/p/itm8c9edb3ed5fa8?pid=COMFSFNVFHKMG4KJ&lid=LSTCOMFSFNVFHKMG4KJDRMARW&marketplace=FLIPKART&srno=b_1_11&otracker=browse&fm=organic&iid=920ac768-24da-4ab9-b80a-93d78312e585.COMFSFNVFHKMG4KJ.SEARCH&ssid=zq11nxk6cg0000001602707739577,"39,100"
11,Asus VivoBook 14 Core i5 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home) X412FA-EK511T Thin and ...,COMFQV989Y54ZTGU,8,1,256,0,https://www.flipkart.com/asus-vivobook-14-core-i5-10th-gen-8-gb-1-tb-hdd-256-gb-ssd-windows-10-home-x412fa-ek511t-thin-light-laptop/p/itm74ac67b13ef52?pid=COMFQV989Y54ZTGU&lid=LSTCOMFQV989Y54ZTGU0ZSDIS&marketplace=FLIPKART&srno=b_1_12&otracker=browse&fm=organic&iid=en_tcfxz2OUBDobyrc1jH5mQpvT2Ssw9rIRvqm%2B2ObFVu109SQ3ILQgHXpUXR1jIEiNiZOTqRBqPj4DFt3x%2BKyu7A%3D%3D&ssid=zq11nxk6cg0000001602707739577,"55,990"
12,Dell Inspiron Ryzen 5 Quad Core 3500U - (8 GB/512 GB SSD/Windows 10 Home) Inspiron 3505 Laptop,COMFVH9YHQFWKPYB,8,0,512,0,https://www.flipkart.com/dell-inspiron-ryzen-5-quad-core-3500u-8-gb-512-gb-ssd-windows-10-home-3505-laptop/p/itm00f372b195780?pid=COMFVH9YHQFWKPYB&lid=LSTCOMFVH9YHQFWKPYBSCCET3&marketplace=FLIPKART&srno=b_1_13&otracker=browse&fm=organic&iid=920ac768-24da-4ab9-b80a-93d78312e585.COMFVH9YHQFWKPYB.SEARCH&ssid=zq11nxk6cg0000001602707739577,"48,641"
13,Asus ROG Strix G Core i5 9th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA Geforce GTX 1...,COMFUXREVYXGSNC6,8,0,512,4,https://www.flipkart.com/asus-rog-strix-g-core-i5-9th-gen-8-gb-512-gb-ssd-windows-10-home-4-graphics-nvidia-geforce-gtx-1650-g531gt-hn553t-gaming-laptop/p/itmde5c9e8925662?pid=COMFUXREVYXGSNC6&lid=LSTCOMFUXREVYXGSNC6LYZ6ZF&marketplace=FLIPKART&srno=b_1_14&otracker=browse&fm=organic&iid=920ac768-24da-4ab9-b80a-93d78312e585.COMFUXREVYXGSNC6.SEARCH&ssid=zq11nxk6cg0000001602707739577,"65,000"
14,Asus VivoBook 15 Core i3 10th Gen - (8 GB/1 TB HDD/Windows 10 Home) X509JA-BQ841TS Laptop,COMFUXREVGEPG3E3,8,1,0,0,https://www.flipkart.com/asus-vivobook-15-core-i3-10th-gen-8-gb-1-tb-hdd-windows-10-home-x509ja-bq841ts-laptop/p/itm423e112e0a606?pid=COMFUXREVGEPG3E3&lid=LSTCOMFUXREVGEPG3E3ULIO2C&marketplace=FLIPKART&srno=b_1_15&otracker=browse&fm=organic&iid=920ac768-24da-4ab9-b80a-93d78312e585.COMFUXREVGEPG3E3.SEARCH&ssid=zq11nxk6cg0000001602707739577,"40,880"
15,Asus VivoBook 14 Core i5 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/2 GB Graphics) X412FJ-EK...,COMFQV98ZWHDFGZ7,8,1,256,2,https://www.flipkart.com/asus-vivobook-14-core-i5-10th-gen-8-gb-1-tb-hdd-256-gb-ssd-windows-10-home-2-graphics-x412fj-ek513t-thin-light-laptop/p/itmc732a713de7e6?pid=COMFQV98ZWHDFGZ7&lid=LSTCOMFQV98ZWHDFGZ7O1IMVP&marketplace=FLIPKART&srno=b_1_16&otracker=browse&fm=organic&iid=en_tcfxz2OUBDobyrc1jH5mQpvT2Ssw9rIRvqm%2B2ObFVu2GPZisYnOWV%2F3MGbDLNVgr%2BVkA%2B4j8ZuJh0ummOJ6kog%3D%3D&ssid=zq11nxk6cg0000001602707739577,"59,990"
16,HP Omen Ryzen 5 Hexa Core 4600H - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA Geforce GTX 16...,COMFSTFFPEWNUCH5,8,0,512,4,https://www.flipkart.com/hp-omen-ryzen-5-hexa-core-4600h-8-gb-512-gb-ssd-windows-10-home-4-graphics-nvidia-geforce-gtx-1650-ti-15-en0001ax-gaming-laptop/p/itmf28adfae66c40?pid=COMFSTFFPEWNUCH5&lid=LSTCOMFSTFFPEWNUCH5FZP1VV&marketplace=FLIPKART&srno=b_1_17&otracker=browse&fm=organic&iid=920ac768-24da-4ab9-b80a-93d78312e585.COMFSTFFPEWNUCH5.SEARCH&ssid=zq11nxk6cg0000001602707739577,"75,990"
17,Avita Pura Ryzen 5 Quad Core 3500U - (8 GB/512 GB SSD/Windows 10 Home in S Mode) NS14A6INV561-GPGYB Th...,COMFQGZERVKJPYZY,8,0,512,0,https://www.flipkart.com/avita-pura-ryzen-5-quad-core-3500u-8-gb-512-gb-ssd-windows-10-home-s-mode-ns14a6inv561-gpgyb-thin-light-laptop/p/itm528e8cee3b794?pid=COMFQGZERVKJPYZY&lid=LSTCOMFQGZERVKJPYZYHJGHYX&marketplace=FLIPKART&srno=b_1_18&otracker=browse&fm=organic&iid=920ac768-24da-4ab9-b80a-93d78312e585.COMFQGZERVKJPYZY.SEARCH&ssid=zq11nxk6cg0000001602707739577,"32,990"
18,HP 15s Core i3 10th Gen - (4 GB/1 TB HDD/Windows 10 Home) 15s-du2069TU Thin and Light Laptop,COMFRH6ZPGVVVJP6,4,1,0,0,https://www.flipkart.com/hp-15s-core-i3-10th-gen-4-gb-1-tb-hdd-windows-10-home-15s-du2069tu-thin-light-laptop/p/itm67c0fd6ee3eaa?pid=COMFRH6ZPGVVVJP6&lid=LSTCOMFRH6ZPGVVVJP6WDYGWR&marketplace=FLIPKART&srno=b_1_19&otracker=browse&fm=organic&iid=920ac768-24da-4ab9-b80a-93d78312e585.COMFRH6ZPGVVVJP6.SEARCH&ssid=zq11nxk6cg0000001602707739577,"38,990"
19,Lenovo Ideapad L340 Core i5 9th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA G...,COMFTPG2ZHUESNYG,8,1,256,4,https://www.flipkart.com/lenovo-ideapad-l340-core-i5-9th-gen-8-gb-1-tb-hdd-256-gb-ssd-windows-10-home-4-graphics-nvidia-geforce-gtx-1650-60-hz-l340-15irh-gaming-laptop/p/itmbc82c55a314fb?pid=COMFTPG2ZHUESNYG&lid=LSTCOMFTPG2ZHUESNYGM1VZN1&marketplace=FLIPKART&srno=b_1_20&otracker=browse&fm=organic&iid=en_tcfxz2OUBDobyrc1jH5mQpvT2Ssw9rIRvqm%2B2ObFVu03%2BnEkOo4FY3IZMqw%2B7Dmd10WzDktGlNwqcxsrTUMfLA%3D%3D&ssid=zq11nxk6cg0000001602707739577,"63,990"
20,Dell Inspiron Core i3 10th Gen - (8 GB/1 TB HDD/Windows 10 Home) Inspiron 3593 Laptop,COMFTP97VUX8EYMV,8,1,0,0,https://www.flipkart.com/dell-inspiron-core-i3-10th-gen-8-gb-1-tb-hdd-windows-10-home-3593-laptop/p/itm1a0efbb5fb78b?pid=COMFTP97VUX8EYMV&lid=LSTCOMFTP97VUX8EYMVTZN6IU&marketplace=FLIPKART&srno=b_1_21&otracker=browse&fm=organic&iid=920ac768-24da-4ab9-b80a-93d78312e585.COMFTP97VUX8EYMV.SEARCH&ssid=zq11nxk6cg0000001602707739577,"39,990"
21,HP 15s Ryzen 3 Dual Core 3200U - (4 GB/256 GB SSD/Windows 10 Home) 15s-eq0007AU Thin and Light Laptop,COMFZ4D9A235KZFB,4,0,256,0,https://www.flipkart.com/hp-15s-ryzen-3-dual-core-3200u-4-gb-256-gb-ssd-windows-10-home-15s-eq0007au-thin-light-laptop/p/itme5e28c27168e6?pid=COMFZ4D9A235KZFB&lid=LSTCOMFZ4D9A235KZFBWQTZ0Y&marketplace=FLIPKART&srno=b_1_22&otracker=browse&fm=organic&iid=920ac768-24da-4ab9-b80a-93d78312e585.COMFZ4D9A235KZFB.SEARCH&ssid=zq11nxk6cg0000001602707739577,"36,100"
